UNITID,PREDDEG,CURROPER,TUITIONFEE_IN,EARN_2011,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,MD_INC_RPY_5YR_RT
107220,1,1,13932.234,11500,9855,0.62,0.697
107275,1,0,13932.234,26997,17105,0.62,0.697
107293,1,1,13932.234,26997,9500,0.473684211,0.697
107318,1,1,2458,19500,17105,0.62,0.697
107327,1,1,1954,21300,3062.5,0.62,0.697
107363,1,1,13932.234,26997,17105,0.62,0.697
107442,1,1,13932.234,26997,17105,0.62,0.697
107460,1,1,1896,20600,11500,0.62,0.754966887
107488,1,1,2321,25200,17105,0.62,0.697
107512,3,1,22370,28900,23500,0.62,0.840236686
107521,1,1,3367,21400,9250,0.62,0.697
107549,1,1,2414,20300,12750,0.62,0.697
107558,3,1,24350,23100,24000,0.62,0.697
107585,2,1,2309,23600,9500,0.62,0.697
107600,3,1,12564,18700,31000,0.62,0.506493506
107619,2,1,2375,17200,17105,0.62,0.697
107637,1,1,2980,21200,8300,0.62,0.641509434
107655,1,1,13932.234,26997,10798,0.62,0.697
107664,2,1,3507,23400,22862.5,0.62,0.53307888
107725,1,1,2281,21100,4500,0.62,0.697
107743,1,1,2208,17800,17105,0.62,0.697
107789,1,1,13932.234,14400,9833,0.62,0.697
107831,1,1,13932.234,7700,7600,0.62,0.697
107877,3,1,13750,24700,19000,0.62,0.697
107974,1,1,2200,23500,11000,0.62,0.635514019
107983,3,1,7466,27200,17216.5,0.62,0.719480519
107992,1,1,4080,23200,5500,0.62,0.697
108065,1,1,13932.234,26997,17105,0.62,0.697
108092,3,1,4528,23800,17432,0.62,0.73220339
108232,3,1,19130,25900,34000,0.62,0.65907099
108250,2,1,18048,30300,25833.5,0.561858455,0.540756526
108269,4,1,13932.234,26997,17105,0.62,0.697
108348,1,1,13932.234,25000,9500,0.372781065,0.697
108649,1,1,13932.234,11700,11944,0.62,0.697
108667,2,1,1144,22500,17105,0.62,0.697
108807,2,1,1346,21300,9500,0.62,0.697
108852,2,1,30650,20300,13240,0.758928571,0.697
108861,4,1,13932.234,26997,17105,0.62,0.697
108870,4,1,13932.234,26997,17105,0.62,0.697
108977,1,1,13932.234,26997,4166,0.62,0.697
109040,1,1,13932.234,26300,9500,0.582850521,0.632954545
109086,1,1,13932.234,26997,17105,0.62,0.697
109208,1,1,1104,21900,11407.5,0.62,0.56557377
109332,1,0,13932.234,20000,9500,0.261217949,0.697
109350,2,1,1104,20300,15000,0.62,0.471544715
109651,3,1,36480,39100,36187,0.62,0.697
109721,1,1,13932.234,19400,9000,0.460431655,0.697
109730,1,1,13932.234,15200,9500,0.62,0.697
109785,3,1,32256,37500,25000,0.62,0.922352941
109819,1,1,1324,21700,13388,0.62,0.697
109907,2,1,1104,21600,17105,0.62,0.697
109934,1,1,13932.234,15500,16772.5,0.531707317,0.697
110060,3,1,7620,26997,17105,0.62,0.697
110097,3,1,32142,32000,23969,0.62,0.946917808
110185,3,1,20120,23500,31000,0.62,0.646616541
110194,1,1,13932.234,33800,9392,0.737623762,0.697
110219,2,1,11850,34200,20000,0.62,0.697
110246,1,1,1354,20900,13500,0.62,0.620253165
110307,4,1,13932.234,26997,17105,0.62,0.697
110316,3,1,13932.234,26997,18750,0.62,0.697
110334,2,1,1358,23100,15406,0.62,0.709090909
110361,3,1,28122,31300,27686.5,0.62,0.800847458
110370,3,1,40334,28300,27000,0.62,0.820895522
110398,4,1,13932.234,89000,17105,0.62,0.697
110404,3,1,41538,56100,18348.5,0.62,0.697
110413,3,1,35720,37100,23000,0.62,0.911347518
110422,3,1,8724,44900,19500,0.62,0.697
110468,3,1,15816,52300,2000,0.62,0.697
110486,3,1,6775,34300,16174.5,0.62,0.842415317
110495,3,1,6491,29400,16500,0.62,0.844827586
110510,3,1,6550,31800,18482,0.795702978,0.804806992
110529,3,1,6350,36400,18001,0.62,0.89975145
110538,3,1,6972,34200,16500,0.62,0.90625
110547,3,1,6100,32300,17201.5,0.62,0.791111111
110556,3,1,6287,30100,16500,0.62,0.843338214
110565,3,1,6186,33000,14718,0.911947982,0.889604416
110574,3,1,6550,38700,16312,0.62,0.829531813
110583,3,1,6240,34100,15775,0.926113117,0.901442308
110592,3,1,6344,33200,14125,0.62,0.87012987
110608,3,1,6525,31500,15000,0.62,0.827197921
110617,3,1,6628,35600,17250,0.62,0.879981025
110635,3,1,12864,43600,14667,0.62,0.944697463
110644,3,1,13895,37600,15000,0.62,0.932148627
110653,3,1,13149,36300,17414,0.62,0.932725999
110662,3,1,12697,41100,15900,0.62,0.935604045
110671,3,1,12960,31800,19500,0.62,0.894705174
110680,3,1,13271,38400,19266,0.958490566,0.953188999
110699,4,1,13932.234,86600,17105,0.62,0.697
110705,3,1,13746,34800,18057,0.933383234,0.932247557
110714,3,1,13397,29900,19737.5,0.62,0.906520031
110778,4,1,13932.234,26997,17105,0.62,0.697
110875,1,1,13932.234,26997,8403,0.62,0.697
110918,3,1,8275,26997,17105,0.62,0.697
110945,2,1,18480,30400,25903,0.62,0.697
111009,1,1,13761,29300,12136,0.684027778,0.656641604
111054,1,1,13932.234,16800,7500,0.674418605,0.697
111081,3,1,40536,26100,29400,0.62,0.697
111188,3,1,6536,63000,26000,0.62,0.858823529
111391,4,1,13932.234,71300,17105,0.62,0.697
111434,2,1,1344,26000,17105,0.62,0.697
111461,2,1,1154,27900,10500,0.62,0.684615385
111513,1,1,13932.234,17700,6333,0.643312102,0.697
111638,1,1,13932.234,45300,16862,0.694852941,0.697
111708,1,1,13932.234,17800,5450,0.375309406,0.590452261
111717,1,1,13932.234,17800,5450,0.375309406,0.590452261
111726,1,1,13932.234,17800,5450,0.375309406,0.590452261
111744,1,1,13932.234,17800,5450,0.375309406,0.590452261
111762,1,1,13932.234,17800,5450,0.375309406,0.590452261
111771,1,0,13932.234,17800,5450,0.375309406,0.590452261
111799,1,1,13932.234,17800,5450,0.375309406,0.590452261
111887,2,1,1346,23500,7250,0.62,0.697
111896,2,1,1290,19900,17105,0.62,0.697
111920,2,1,1138,25800,10250,0.62,0.697
111939,2,1,1153,22900,17105,0.62,0.697
111948,3,1,43573,42000,20250,0.62,0.895027624
111966,2,1,11956,66500,30000,0.848684211,0.697
112075,3,1,29630,31500,21500,0.62,0.900900901
112084,3,1,25888,27900,20249,0.92481203,0.880733945
112127,4,1,13932.234,26997,17105,0.62,0.697
112172,2,1,1174,22300,6852,0.62,0.7
112190,1,1,1274,23300,10500,0.62,0.697
112251,4,1,13932.234,26997,17105,0.62,0.697
112260,3,1,45625,48200,14000,0.62,0.697
112288,1,1,13932.234,20300,9500,0.420997921,0.697
112367,1,1,13932.234,27800,17105,0.62,0.697
112385,2,1,1136,29800,8000,0.62,0.697
112394,3,1,16160,30500,32875,0.62,0.697
112446,2,1,20200,37100,29177,0.74,0.698717949
112455,1,1,13932.234,15600,13277.5,0.62,0.697
112525,4,1,13932.234,82600,17105,0.62,0.697
112561,2,1,1150,18900,17105,0.62,0.697
112570,3,1,18804,24800,31000,0.62,0.697
112686,2,1,1142,20900,5812,0.62,0.697
112826,2,1,1298,21400,7799.5,0.62,0.697
113096,2,1,1104,20700,10000,0.62,0.545454545
113111,2,1,1134,24700,17105,0.62,0.697
113193,2,1,1230,25500,9500,0.62,0.697
113218,2,1,1386,21300,17105,0.62,0.697
113236,2,1,1136,25800,9000,0.62,0.569444444
113333,2,1,1542,27500,17105,0.62,0.697
113397,1,1,13932.234,14600,9960,0.330788804,0.697
113449,1,1,13932.234,26997,7211,0.649122807,0.697
113537,1,1,12750,26997,17105,0.62,0.697
113573,2,1,1316,24000,9000,0.62,0.697
113582,3,1,20470,28100,38087,0.852173913,0.697
113634,1,1,1298,28200,17105,0.62,0.697
113698,3,1,40600,46700,27000,0.62,0.824120603
113704,4,1,13932.234,26997,17105,0.62,0.697
113856,1,1,1221,22700,9000,0.62,0.697
113908,1,1,13932.234,26997,10000,0.516441006,0.697
113980,2,1,1142,20900,5812,0.62,0.697
114044,1,1,13932.234,18700,6333,0.62,0.697
114071,1,1,13932.234,16300,10481,0.62,0.697
114080,1,1,13932.234,15300,10951,0.36461126,0.697
114114,4,1,13932.234,26997,17105,0.62,0.697
114123,1,1,13932.234,27100,16500,0.566951567,0.581196581
114266,2,1,1326,24900,9500,0.62,0.697
114354,2,1,28920,29400,12000,0.62,0.795036029
114390,2,1,28920,29400,12000,0.62,0.795036029
114415,2,1,28920,29400,12000,0.62,0.795036029
114433,2,1,1446,21500,8000,0.62,0.697
114460,1,1,13932.234,17200,9429,0.748201439,0.697
114549,4,1,13932.234,26997,17105,0.62,0.697
114585,4,1,13932.234,26997,17105,0.62,0.697
114628,1,1,13932.234,26997,17105,0.62,0.697
114716,2,1,1536,32900,10500,0.62,0.697
114734,4,1,13932.234,26997,17105,0.62,0.697
114761,1,1,13932.234,26997,17105,0.62,0.697
114789,2,1,1142,19400,4500,0.62,0.572769953
114813,3,1,25716,30900,19205,0.62,0.697
114840,4,1,13932.234,26997,17105,0.62,0.697
114859,2,1,1138,23900,17105,0.62,0.711111111
114938,2,1,1245,20300,9998.5,0.62,0.697
114947,1,1,13932.234,38800,9516,0.62,0.697
115001,2,1,1175,21400,17105,0.62,0.697
115010,1,1,13932.234,26800,11542.5,0.675159236,0.645962733
115083,3,1,13932.234,64600,28117.5,0.62,0.772151899
115126,1,1,1176,23200,7054,0.62,0.780952381
115214,4,1,13932.234,26997,17105,0.62,0.697
115296,2,1,1387,24200,4500,0.62,0.691275168
115357,1,1,13932.234,14600,11339,0.62,0.697
